name,role
HE van der Dussen,BAT
CRD Fernando,BWL
EJG Morgan,BAT
T Henderson,BWL
RJ Peterson,BWL
RJW Topley,BWL
BA Bhatt,BWL
JH Kallis,AR
JP Behrendorff,BWL
Washington Sundar,AR
K Kartikeya,BWL
RE van der Merwe,AR
NLTC Perera,AR
JA Richardson,BWL
M Vijay,BAT
L Balaji,BWL
Arshdeep Singh,BWL
TL Suman,BAT
S Lamichhane,BWL
Vivrant Sharma,AR
Mustafizur Rahman,BWL
A Badoni,BAT
RR Powar,BWL
CJ Green,AR
MK Tiwary,BAT
FH Edwards,BWL
AC Voges,BAT
DR Sams,AR
DPMD Jayawardene,BAT
Kumar Kushagra,WK
VR Aaron,BWL
WP Saha,WK
MS Bisla,WK
AD Mathews,AR
OA Shah,BAT
Mohammad Nabi,AR
SM Harwood,BWL
Ravi Bishnoi,BWL
A Mithun,BWL
C Ganapathy,AR
RT Ponting,BAT
MD Mishra,BAT
GS Sandhu,BWL
IK Pathan,AR
Mukesh Choudhary,BWL
C Nanda,BWL
S Badree,BWL
HV Patel,BWL
AB Dinda,BWL
AC Blizzard,BAT
P Kumar,BWL
SD Lad,BAT
R Vinay Kumar,BWL
SK Raina,BAT
RG More,BWL
BAW Mendis,BWL
AA Kulkarni,AR
R Sharma,BWL
R Bishnoi,BAT
JD Ryder,AR
S Vidyut,AR
KC Cariappa,BWL
Abdur Razzak,BWL
DJ Hussey,AR
N Burger,BWL
R Dhawan,AR
DJ Thornely,BAT
Abhishek Sharma,AR
Mohammed Siraj,BWL
NB Singh,BWL
SP Narine,AR
TM Srivastava,BAT
CK Langeveldt,BWL
Navdeep Saini,BWL
Sohail Tanvir,BWL
AM Rahane,BAT
CJ Jordan,BWL
T Taibu,WK
JP Faulkner,AR
MD Shanaka,AR
Shivam Sharma,BWL
GC Viljoen,BWL
Akash Singh,BWL
HH Gibbs,BAT
DJ Harris,BAT
I Sharma,BWL
Kamran Akmal,WK
ER Dwivedi,WK
BR Dunk,WK
PVD Chameera,BWL
JM Sharma,WK
Mohit Rathee,AR
MDKJ Perera,WK
P Sahu,AR
RK Bhui,BAT
HC Brook,BAT
SSB Magala,BWL
MG Neser,AR
Virat Singh,BAT
GB Hogg,AR
SW Tait,BWL
AJ Hosein,BWL
AP Dole,BWL
BJ Rohrer,BAT
A Nehra,BWL
P Dogra,BAT
RS Hangargekar,AR
Sunny Singh,BAT
P Simran Singh,WK
AJ Finch,BAT
BJ Haddin,WK
E Lewis,BAT
DR Shorey,BAT
SJ Srivastava,BWL
AM Salvi,BWL
Suyash Sharma,BWL
WPUJC Vaas,BWL
B Sumanth,BAT
DJ Hooda,AR
R Shukla,BWL
Basil Thampi,BWL
Mujeeb Ur Rahman,BWL
Shoaib Malik,AR
AA Jhunjhunwala,BAT
Mohammad Ashraful,BAT
PR Shah,WK
DP Vijaykumar,BWL
S Randiv,BWL
SV Samson,WK
RR Raje,BWL
DJ Jacobs,WK
AR Patel,AR
RA Tripathi,BAT
Ankit Sharma,BWL
L Ablish,BWL
RR Sarwan,BAT
S Sandeep Warrier,BWL
NM Coulter-Nile,AR
R Powell,BAT
Mukesh Kumar,BWL
DT Patil,WK
SP Fleming,BAT
J Botha,AR
Anmolpreet Singh,BAT
R Ashwin,AR
Bipul Sharma,AR
RJ Harris,BWL
R McLaren,AR
BCJ Cutting,AR
RP Singh,BWL
R Parag,BAT
BE Hendricks,BWL
SB Jakati,BWL
DA Miller,BAT
SS Cottrell,BWL
KH Pandya,AR
GD McGrath,BWL
BMAJ Mendis,AR
R Goyal,BWL
Naman Dhir,BAT
T Kohli,BAT
S Ladda,BWL
R Rampaul,BWL
AC Thomas,BWL
SC Kuggeleijn,AR
LS Livingstone,AR
NL McCullum,BWL
PJ Cummins,BWL
A Mishra,BWL
YK Pathan,AR
ST Jayasuriya,AR
MR Marsh,AR
S Sreesanth,BWL
WG Jacks,AR
M Manhas,AR
MM Ali,AR
YS Chahal,BWL
HH Pandya,AR
P Awana,BWL
PA Patel,WK
T Shamsi,BWL
GJ Bailey,BAT
Mohammad Hafeez,AR
RJ Quiney,BAT
Mohammed Shami,BWL
ML Hayden,BAT
B Akhil,BWL
SP Jackson,WK
RA Jadeja,AR
AT Rayudu,BAT
R Sathish,AR
PK Garg,BAT
LJ Wright,BAT
Swapnil Singh,BWL
BR Sharath,WK
Jalaj S Saxena,AR
MS Dhoni,WK
PP Shaw,BAT
I Malhotra,BWL
NT Ellis,BWL
AA Noffke,AR
S Rana,BWL
KA Maharaj,BWL
M Markande,BWL
M Siddharth,BWL
Harpreet Brar,BWL
DJ Mitchell,AR
Mandeep Singh,AR
PN Mankad,AR
SA Abbott,AR
JJ Bumrah,BWL
MG Bracewell,AR
Tilak Varma,AR
SA Yadav,BAT
DB Ravi Teja,BAT
TM Head,BAT
A Symonds,AR
PP Chawla,AR
CL White,BAT
KA Pollard,AR
Mashrafe Mortaza,BWL
Sandeep Sharma,BWL
CH Gayle,AR
S Nadeem,BWL
BB McCullum,WK
DW Steyn,BWL
LB Williams,BWL
VVS Laxman,BAT
CA Pujara,BAT
AS Roy,AR
P Dubey,BWL
Shahbaz Ahmed,AR
LI Meriwala,BWL
Ashutosh Sharma,AR
AD Mascarenhas,AR
SMSM Senanayake,BWL
AR Bawne,BAT
OF Smith,AR
Kuldeep Yadav,BWL
R Tewatia,AR
Abdul Samad,BAT
KT Maphaka,BWL
R Bhatia,AR
FY Fazal,BAT
AB Agarkar,BWL
JEC Franklin,AR
KS Williamson,BAT
SN Khan,BAT
M Kartik,BWL
PSP Handscomb,BAT
DJG Sammy,AR
C Munro,BAT
Y Venugopal Rao,BAT
JDS Neesham,AR
S Chanderpaul,BAT
MK Lomror,AR
J Fraser-McGurk,BAT
A Raghuvanshi,BAT
KS Bharat,WK
YV Dhull,BAT
AN Ahmed,BWL
N Wadhera,BAT
Sumit Kumar,AR
SW Billings,WK
DG Nalkande,BWL
KM Jadhav,AR
Anand Rajan,BWL
D Pretorius,AR
D du Preez,AR
AD Nath,BAT
H Klaasen,WK
UBT Chand,BAT
Mayank Dagar,BWL
A Nel,BWL
Akash Madhwal,BWL
Vijaykumar Vyshak,BWL
KJ Abbott,BWL
Simarjeet Singh,BWL
S Narwal,AR
Rahmanullah Gurbaz,WK
JL Denly,BAT
Shoaib Akhtar,BWL
IC Pandey,BWL
SO Hetmyer,BAT
KR Sen,BWL
