match_id,players
335982,"[{'player': 'BB McCullum', 'points': 228.0}, {'player': 'AB Agarkar', 'points': 85.0}, {'player': 'SC Ganguly', 'points': 76.0}, {'player': 'AB Dinda', 'points': 68.0}, {'player': 'I Sharma', 'points': 43.0}, {'player': 'RT Ponting', 'points': 41.0}, {'player': 'JH Kallis', 'points': 39.0}, {'player': 'AA Noffke', 'points': 37.0}, {'player': 'P Kumar', 'points': 35.0}, {'player': 'Z Khan', 'points': 30.0}, {'player': 'LR Shukla', 'points': 29.0}, {'player': 'M Kartik', 'points': 20.0}, {'player': 'AB Agarkar, WP Saha', 'points': 16.0}, {'player': 'DJ Hussey', 'points': 15.0}, {'player': 'CL White', 'points': 14.0}, {'player': 'WP Saha', 'points': 12.0}, {'player': 'Mohammad Hafeez', 'points': 10.0}, {'player': 'MV Boucher', 'points': 8.0}, {'player': 'SB Joshi', 'points': 5.0}, {'player': 'R Dravid', 'points': 4.0}, {'player': 'V Kohli', 'points': 3.0}, {'player': 'B Akhil', 'points': 2.0}, {'player': 'W Jaffer', 'points': 2.0}]"
335983,"[{'player': 'MEK Hussey', 'points': 168.0}, {'player': 'JR Hopes', 'points': 130.0}, {'player': 'KC Sangakkara', 'points': 85.0}, {'player': 'IK Pathan', 'points': 77.0}, {'player': 'SK Raina', 'points': 52.0}, {'player': 'S Badrinath', 'points': 52.0}, {'player': 'Joginder Sharma', 'points': 41.0}, {'player': 'Yuvraj Singh', 'points': 36.0}, {'player': 'ML Hayden', 'points': 35.0}, {'player': 'P Amarnath', 'points': 33.0}, {'player': 'PA Patel', 'points': 30.0}, {'player': 'K Goel', 'points': 30.0}, {'player': 'M Muralitharan', 'points': 29.0}, {'player': 'B Lee', 'points': 29.0}, {'player': 'MS Gony', 'points': 27.0}, {'player': 'SM Katich', 'points': 27.0}, {'player': 'WA Mota', 'points': 25.0}, {'player': 'JDP Oram', 'points': 17.0}, {'player': 'MS Dhoni', 'points': 4.0}]"
335984,"[{'player': 'G Gambhir', 'points': 79.0}, {'player': 'MF Maharoof', 'points': 76.0}, {'player': 'S Dhawan', 'points': 72.0}, {'player': 'R Bhatia', 'points': 68.0}, {'player': 'SR Watson', 'points': 64.0}, {'player': 'GD McGrath', 'points': 45.0}, {'player': 'RA Jadeja', 'points': 37.0}, {'player': 'DL Vettori', 'points': 37.0}, {'player': 'D Salunkhe', 'points': 36.0}, {'player': 'SK Warne', 'points': 18.0}, {'player': 'V Sehwag', 'points': 17.0}, {'player': 'YK Pathan', 'points': 14.0}, {'player': 'M Manhas', 'points': 12.0}, {'player': 'B Geeves', 'points': 12.0}, {'player': 'SK Trivedi', 'points': 7.0}, {'player': 'T Kohli', 'points': 7.0}, {'player': 'M Kaif', 'points': 5.0}, {'player': 'M Rawat', 'points': 4.0}, {'player': 'DS Lehmann', 'points': 3.0}]"
335985,"[{'player': 'Z Khan', 'points': 86.0}, {'player': 'MV Boucher', 'points': 73.0}, {'player': 'ST Jayasuriya', 'points': 69.0}, {'player': 'RV Uthappa', 'points': 61.0}, {'player': 'B Akhil', 'points': 59.0}, {'player': 'Harbhajan Singh', 'points': 56.0}, {'player': 'AM Nayar', 'points': 55.0}, {'player': 'V Kohli', 'points': 50.0}, {'player': 'SM Pollock', 'points': 43.0}, {'player': 'R Dravid', 'points': 42.0}, {'player': 'LRPL Taylor', 'points': 36.0}, {'player': 'DS Kulkarni', 'points': 31.0}, {'player': 'P Kumar', 'points': 29.0}, {'player': 'JH Kallis', 'points': 29.0}, {'player': 'A Nehra', 'points': 25.0}, {'player': 'PR Shah', 'points': 23.0}, {'player': 'S Chanderpaul', 'points': 23.0}, {'player': 'L Ronchi', 'points': 20.0}, {'player': 'DJ Thornely', 'points': 2.0}]"
335986,"[{'player': 'M Kartik', 'points': 95.0}, {'player': 'DJ Hussey', 'points': 82.0}, {'player': 'WPUJC Vaas', 'points': 66.0}, {'player': 'PP Ojha', 'points': 66.0}, {'player': 'Mohammad Hafeez', 'points': 65.0}, {'player': 'AB Agarkar', 'points': 54.0}, {'player': 'A Symonds', 'points': 52.0}, {'player': 'I Sharma', 'points': 47.0}, {'player': 'AB Dinda', 'points': 39.0}, {'player': 'AC Gilchrist', 'points': 30.0}, {'player': 'RP Singh', 'points': 30.0}, {'player': 'WP Saha', 'points': 25.0}, {'player': 'SB Bangar', 'points': 21.0}, {'player': 'SC Ganguly', 'points': 19.0}, {'player': 'SB Styris', 'points': 17.0}, {'player': 'Y Venugopal Rao', 'points': 17.0}, {'player': 'LR Shukla', 'points': 16.0}, {'player': 'Mohammad Hafeez, WP Saha', 'points': 16.0}, {'player': 'AS Yadav', 'points': 14.0}, {'player': 'RG Sharma', 'points': 10.0}, {'player': 'BB McCullum', 'points': 8.0}, {'player': 'RT Ponting', 'points': 2.0}, {'player': 'VVS Laxman', 'points': 2.0}]"
335987,"[{'player': 'SR Watson', 'points': 105.0}, {'player': 'SK Warne', 'points': 105.0}, {'player': 'Yuvraj Singh', 'points': 83.0}, {'player': 'SK Trivedi', 'points': 64.0}, {'player': 'RA Jadeja', 'points': 53.0}, {'player': 'IK Pathan', 'points': 51.0}, {'player': 'PP Chawla', 'points': 46.0}, {'player': 'Kamran Akmal', 'points': 45.0}, {'player': 'JR Hopes', 'points': 45.0}, {'player': 'MM Patel', 'points': 37.0}, {'player': 'KC Sangakkara', 'points': 35.0}, {'player': 'K Goel', 'points': 35.0}, {'player': 'S Sreesanth', 'points': 29.0}, {'player': 'D Salunkhe', 'points': 27.0}, {'player': 'B Lee', 'points': 27.0}, {'player': 'DS Lehmann', 'points': 22.0}, {'player': 'RA Jadeja, Kamran Akmal', 'points': 16.0}, {'player': 'YK Pathan', 'points': 10.0}, {'player': 'M Kaif', 'points': 8.0}, {'player': 'S Sohal', 'points': 8.0}, {'player': 'WA Mota', 'points': 5.0}, {'player': 'DPMD Jayawardene', 'points': 4.0}]"
335988,"[{'player': 'V Sehwag', 'points': 134.0}, {'player': 'RG Sharma', 'points': 96.0}, {'player': 'Mohammad Asif', 'points': 74.0}, {'player': 'R Bhatia', 'points': 64.0}, {'player': 'MF Maharoof', 'points': 54.0}, {'player': 'S Dhawan', 'points': 40.0}, {'player': 'RP Singh', 'points': 30.0}, {'player': 'VY Mahesh', 'points': 29.0}, {'player': 'G Gambhir', 'points': 24.0}, {'player': 'AC Gilchrist', 'points': 20.0}, {'player': 'WPUJC Vaas', 'points': 18.0}, {'player': 'A Symonds', 'points': 16.0}, {'player': 'MK Tiwary, KD Karthik', 'points': 16.0}, {'player': 'AS Yadav', 'points': 16.0}, {'player': 'Y Venugopal Rao', 'points': 16.0}, {'player': 'KD Karthik', 'points': 12.0}, {'player': 'GD McGrath', 'points': 12.0}, {'player': 'SB Bangar', 'points': 6.0}, {'player': 'Shahid Afridi', 'points': 4.0}, {'player': 'VVS Laxman', 'points': 4.0}]"
335989,"[{'player': 'ML Hayden', 'points': 115.0}, {'player': 'SK Raina', 'points': 82.0}, {'player': 'Joginder Sharma', 'points': 70.0}, {'player': 'AM Nayar', 'points': 67.0}, {'player': 'MA Khote', 'points': 61.0}, {'player': 'RV Uthappa', 'points': 57.0}, {'player': 'Harbhajan Singh', 'points': 55.0}, {'player': 'M Muralitharan', 'points': 52.0}, {'player': 'DJ Bravo', 'points': 48.0}, {'player': 'MS Dhoni', 'points': 48.0}, {'player': 'DS Kulkarni', 'points': 37.0}, {'player': 'MS Gony', 'points': 33.0}, {'player': 'P Amarnath', 'points': 31.0}, {'player': 'A Nehra', 'points': 30.0}, {'player': 'ST Jayasuriya', 'points': 30.0}, {'player': 'S Badrinath', 'points': 26.0}, {'player': 'SM Pollock', 'points': 21.0}, {'player': 'PA Patel', 'points': 19.0}, {'player': 'JDP Oram', 'points': 18.0}, {'player': 'L Ronchi', 'points': 14.0}, {'player': 'MEK Hussey', 'points': 8.0}]"
335990,"[{'player': 'A Symonds', 'points': 184.0}, {'player': 'YK Pathan', 'points': 141.0}, {'player': 'Shahid Afridi', 'points': 104.0}, {'player': 'GC Smith', 'points': 98.0}, {'player': 'SK Warne', 'points': 76.0}, {'player': 'M Kaif', 'points': 54.0}, {'player': 'RG Sharma', 'points': 47.0}, {'player': 'Kamran Akmal', 'points': 37.0}, {'player': 'D Kalyankrishna', 'points': 35.0}, {'player': 'RP Singh', 'points': 33.0}, {'player': 'SR Watson', 'points': 31.0}, {'player': 'WPUJC Vaas', 'points': 27.0}, {'player': 'AS Yadav', 'points': 25.0}, {'player': 'VVS Laxman', 'points': 21.0}, {'player': 'AC Gilchrist', 'points': 18.0}, {'player': 'VVS Laxman, RP Singh', 'points': 16.0}, {'player': 'D Salunkhe', 'points': 13.0}, {'player': 'SB Bangar', 'points': 12.0}, {'player': 'RA Jadeja', 'points': 11.0}, {'player': 'Pankaj Singh', 'points': 8.0}]"
335991,"[{'player': 'KC Sangakkara', 'points': 123.0}, {'player': 'Harbhajan Singh', 'points': 97.0}, {'player': 'IK Pathan', 'points': 84.0}, {'player': 'PP Chawla', 'points': 82.0}, {'player': 'B Lee', 'points': 67.0}, {'player': 'DS Kulkarni', 'points': 66.0}, {'player': 'A Nehra', 'points': 58.0}, {'player': 'S Sreesanth', 'points': 52.0}, {'player': 'SM Pollock', 'points': 51.0}, {'player': 'DJ Bravo', 'points': 37.0}, {'player': 'VRV Singh', 'points': 32.0}, {'player': 'Yuvraj Singh', 'points': 31.0}, {'player': 'SS Tiwary', 'points': 29.0}, {'player': 'RV Uthappa', 'points': 27.0}, {'player': 'L Ronchi', 'points': 26.0}, {'player': 'K Goel', 'points': 25.0}, {'player': 'RR Sarwan', 'points': 17.0}, {'player': 'DJ Bravo, L Ronchi', 'points': 16.0}, {'player': 'Harbhajan Singh, L Ronchi', 'points': 16.0}, {'player': 'DPMD Jayawardene', 'points': 16.0}, {'player': 'AM Rahane (sub)', 'points': 12.0}, {'player': 'MA Khote', 'points': 11.0}, {'player': 'AM Nayar', 'points': 4.0}, {'player': 'ST Jayasuriya', 'points': 3.0}, {'player': 'S Sohal', 'points': 2.0}]"
