match_id,dream11_team,total_team_points
335982,"[{'player': 'BB McCullum', 'points': 456.0}, {'player': 'AB Agarkar', 'points': 127.5}, {'player': 'SC Ganguly', 'points': 76.0}, {'player': 'AB Dinda', 'points': 68.0}, {'player': 'I Sharma', 'points': 43.0}, {'player': 'RT Ponting', 'points': 41.0}, {'player': 'JH Kallis', 'points': 39.0}, {'player': 'AA Noffke', 'points': 37.0}, {'player': 'P Kumar', 'points': 35.0}, {'player': 'Z Khan', 'points': 30.0}, {'player': 'LR Shukla', 'points': 29.0}]",981.5
335983,"[{'player': 'MEK Hussey', 'points': 336.0}, {'player': 'JR Hopes', 'points': 195.0}, {'player': 'KC Sangakkara', 'points': 85.0}, {'player': 'IK Pathan', 'points': 77.0}, {'player': 'SK Raina', 'points': 52.0}, {'player': 'S Badrinath', 'points': 52.0}, {'player': 'Joginder Sharma', 'points': 41.0}, {'player': 'Yuvraj Singh', 'points': 36.0}, {'player': 'ML Hayden', 'points': 35.0}, {'player': 'P Amarnath', 'points': 33.0}, {'player': 'PA Patel', 'points': 30.0}]",972.0
335984,"[{'player': 'G Gambhir', 'points': 158.0}, {'player': 'MF Maharoof', 'points': 114.0}, {'player': 'S Dhawan', 'points': 72.0}, {'player': 'R Bhatia', 'points': 68.0}, {'player': 'SR Watson', 'points': 64.0}, {'player': 'GD McGrath', 'points': 45.0}, {'player': 'RA Jadeja', 'points': 37.0}, {'player': 'DL Vettori', 'points': 37.0}, {'player': 'D Salunkhe', 'points': 36.0}, {'player': 'SK Warne', 'points': 18.0}, {'player': 'V Sehwag', 'points': 17.0}]",666.0
335985,"[{'player': 'Z Khan', 'points': 172.0}, {'player': 'MV Boucher', 'points': 109.5}, {'player': 'ST Jayasuriya', 'points': 69.0}, {'player': 'RV Uthappa', 'points': 61.0}, {'player': 'B Akhil', 'points': 59.0}, {'player': 'Harbhajan Singh', 'points': 56.0}, {'player': 'AM Nayar', 'points': 55.0}, {'player': 'V Kohli', 'points': 50.0}, {'player': 'SM Pollock', 'points': 43.0}, {'player': 'R Dravid', 'points': 42.0}, {'player': 'LRPL Taylor', 'points': 36.0}]",752.5
335986,"[{'player': 'M Kartik', 'points': 190.0}, {'player': 'DJ Hussey', 'points': 123.0}, {'player': 'WPUJC Vaas', 'points': 66.0}, {'player': 'PP Ojha', 'points': 66.0}, {'player': 'Mohammad Hafeez', 'points': 65.0}, {'player': 'AB Agarkar', 'points': 54.0}, {'player': 'A Symonds', 'points': 52.0}, {'player': 'I Sharma', 'points': 47.0}, {'player': 'AB Dinda', 'points': 39.0}, {'player': 'AC Gilchrist', 'points': 30.0}, {'player': 'RP Singh', 'points': 30.0}]",762.0
335987,"[{'player': 'SR Watson', 'points': 210.0}, {'player': 'SK Warne', 'points': 157.5}, {'player': 'Yuvraj Singh', 'points': 83.0}, {'player': 'SK Trivedi', 'points': 64.0}, {'player': 'RA Jadeja', 'points': 53.0}, {'player': 'IK Pathan', 'points': 51.0}, {'player': 'PP Chawla', 'points': 46.0}, {'player': 'Kamran Akmal', 'points': 45.0}, {'player': 'JR Hopes', 'points': 45.0}, {'player': 'MM Patel', 'points': 37.0}, {'player': 'KC Sangakkara', 'points': 35.0}]",826.5
335988,"[{'player': 'V Sehwag', 'points': 268.0}, {'player': 'RG Sharma', 'points': 144.0}, {'player': 'Mohammad Asif', 'points': 74.0}, {'player': 'R Bhatia', 'points': 64.0}, {'player': 'MF Maharoof', 'points': 54.0}, {'player': 'S Dhawan', 'points': 40.0}, {'player': 'RP Singh', 'points': 30.0}, {'player': 'VY Mahesh', 'points': 29.0}, {'player': 'G Gambhir', 'points': 24.0}, {'player': 'AC Gilchrist', 'points': 20.0}, {'player': 'WPUJC Vaas', 'points': 18.0}]",765.0
335989,"[{'player': 'ML Hayden', 'points': 230.0}, {'player': 'SK Raina', 'points': 123.0}, {'player': 'Joginder Sharma', 'points': 70.0}, {'player': 'AM Nayar', 'points': 67.0}, {'player': 'MA Khote', 'points': 61.0}, {'player': 'RV Uthappa', 'points': 57.0}, {'player': 'Harbhajan Singh', 'points': 55.0}, {'player': 'M Muralitharan', 'points': 52.0}, {'player': 'DJ Bravo', 'points': 48.0}, {'player': 'MS Dhoni', 'points': 48.0}, {'player': 'DS Kulkarni', 'points': 37.0}]",848.0
335990,"[{'player': 'A Symonds', 'points': 368.0}, {'player': 'YK Pathan', 'points': 211.5}, {'player': 'Shahid Afridi', 'points': 104.0}, {'player': 'GC Smith', 'points': 98.0}, {'player': 'SK Warne', 'points': 76.0}, {'player': 'M Kaif', 'points': 54.0}, {'player': 'RG Sharma', 'points': 47.0}, {'player': 'Kamran Akmal', 'points': 37.0}, {'player': 'D Kalyankrishna', 'points': 35.0}, {'player': 'RP Singh', 'points': 33.0}, {'player': 'SR Watson', 'points': 31.0}]",1094.5
335991,"[{'player': 'KC Sangakkara', 'points': 246.0}, {'player': 'Harbhajan Singh', 'points': 145.5}, {'player': 'IK Pathan', 'points': 84.0}, {'player': 'PP Chawla', 'points': 82.0}, {'player': 'B Lee', 'points': 67.0}, {'player': 'DS Kulkarni', 'points': 66.0}, {'player': 'A Nehra', 'points': 58.0}, {'player': 'S Sreesanth', 'points': 52.0}, {'player': 'SM Pollock', 'points': 51.0}, {'player': 'DJ Bravo', 'points': 37.0}, {'player': 'VRV Singh', 'points': 32.0}]",920.5
