ID,City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,Method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
335982,Bangalore,18/04/08,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,N,Kolkata Knight Riders,NA,BB McCullum,"R Dravid, W Jaffer, AB Dinda, I Sharma, V Kohli, JH Kallis, AB Agarkar, CL White, MV Boucher, SC Ganguly, B Akhil, AA Noffke, P Kumar, Z Khan, LR Shukla, SB Joshi","SC Ganguly, BB McCullum, P Kumar, Z Khan, AA Noffke, RT Ponting, JH Kallis, SB Joshi, DJ Hussey, CL White, Mohammad Hafeez",Asad Rauf,RE Koertzen
335983,Chandigarh,19/04/08,2007/08,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,N,Chennai Super Kings,NA,MEK Hussey,"K Goel, JR Hopes, JDP Oram, MS Gony, KC Sangakkara, M Muralitharan, P Amarnath, Joginder Sharma, Yuvraj Singh, SM Katich, IK Pathan","PA Patel, ML Hayden, B Lee, S Sreesanth, MEK Hussey, JR Hopes, IK Pathan, MS Dhoni, SK Raina, K Goel, PP Chawla, WA Mota, JDP Oram, S Badrinath",MR Benson,SL Shastri
335984,Delhi,19/04/08,2007/08,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,N,Delhi Daredevils,NA,MF Maharoof,"G Gambhir, V Sehwag, MM Patel, SR Watson, S Dhawan, SK Trivedi, SK Warne, YK Pathan, D Salunkhe","T Kohli, YK Pathan, GD McGrath, B Geeves, SR Watson, M Kaif, MF Maharoof, R Bhatia, DS Lehmann, RA Jadeja, M Rawat, DL Vettori, D Salunkhe, SK Warne, SK Trivedi",Aleem Dar,GA Pratapkumar
335985,Mumbai,20/04/08,2007/08,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,N,Royal Challengers Bangalore,NA,MV Boucher,"L Ronchi, ST Jayasuriya, P Kumar, Z Khan, DJ Thornely, RV Uthappa, JH Kallis, PR Shah, R Vinay Kumar, B Akhil, SB Joshi, AM Nayar, SM Pollock, Harbhajan Singh","S Chanderpaul, R Dravid, A Nehra, SM Pollock, DS Kulkarni, LRPL Taylor, ST Jayasuriya, Harbhajan Singh, JH Kallis, V Kohli, AM Nayar, MV Boucher, B Akhil",SJ Davis,DJ Harper
335986,Kolkata,20/04/08,2007/08,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,N,Kolkata Knight Riders,NA,DJ Hussey,"WP Saha, BB McCullum, WPUJC Vaas, RP Singh, RT Ponting, SC Ganguly, DJ Hussey, SB Styris, SB Bangar, A Symonds, PP Ojha, Mohammad Hafeez, LR Shukla","AC Gilchrist, Y Venugopal Rao, AB Dinda, I Sharma, VVS Laxman, A Symonds, AB Agarkar, M Kartik, Mohammad Hafeez, RG Sharma, SB Styris, AS Yadav, DJ Hussey, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha",BF Bowden,K Hariharan
335987,Jaipur,21/04/08,2007/08,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,N,Rajasthan Royals,NA,SR Watson,"M Kaif, Kamran Akmal, B Lee, S Sreesanth, YK Pathan, SR Watson, JR Hopes, DS Lehmann, IK Pathan, PP Chawla, RA Jadeja, WA Mota","K Goel, JR Hopes, MM Patel, SR Watson, KC Sangakkara, SK Trivedi, SK Warne, DPMD Jayawardene, D Salunkhe, Yuvraj Singh, IK Pathan, Pankaj Singh, YK Pathan, S Sohal, B Lee, PP Chawla, WA Mota",Aleem Dar,RB Tiffin
335988,Hyderabad,22/04/08,2007/08,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,N,Delhi Daredevils,NA,V Sehwag,"AC Gilchrist, Y Venugopal Rao, GD McGrath, Mohammad Asif, VVS Laxman, A Symonds, MF Maharoof, RG Sharma, VY Mahesh, Shahid Afridi, R Bhatia, SB Bangar, AS Yadav, WPUJC Vaas, RP Singh","G Gambhir, V Sehwag, WPUJC Vaas, RP Singh, S Dhawan, SB Bangar, Shahid Afridi, A Symonds, PP Ojha",IL Howell,AM Saheba
335989,Chennai,23/04/08,2007/08,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,N,Chennai Super Kings,NA,ML Hayden,"PA Patel, ML Hayden, SM Pollock, A Nehra, MEK Hussey, DS Kulkarni, SK Raina, Harbhajan Singh, DJ Bravo, VS Yeligati, AM Nayar, MA Khote, MS Dhoni, JDP Oram, S Badrinath","L Ronchi, ST Jayasuriya, JDP Oram, RV Uthappa, MS Gony, SM Pollock, Joginder Sharma, P Amarnath, DJ Bravo, M Muralitharan, AM Nayar, MA Khote, Harbhajan Singh, A Nehra",DJ Harper,GA Pratapkumar
335990,Hyderabad,24/04/08,2007/08,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,N,Rajasthan Royals,NA,YK Pathan,"AC Gilchrist, VVS Laxman, MM Patel, SR Watson, YK Pathan, Shahid Afridi, A Symonds, Pankaj Singh, SK Trivedi, SK Warne, RG Sharma, D Salunkhe, AS Yadav","Kamran Akmal, GC Smith, WPUJC Vaas, RP Singh, YK Pathan, PP Ojha, D Kalyankrishna, Shahid Afridi, SR Watson, M Kaif, A Symonds, RA Jadeja, SK Warne, D Salunkhe, Pankaj Singh",Asad Rauf,MR Benson
335991,Chandigarh,25/04/08,2007/08,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,N,Kings XI Punjab,NA,KC Sangakkara,"K Goel, IK Pathan, SM Pollock, A Nehra, KC Sangakkara, DS Kulkarni, Harbhajan Singh, DJ Bravo, Yuvraj Singh, RR Sarwan, MA Khote, DPMD Jayawardene, S Sohal, B Lee, PP Chawla, S Sreesanth, VRV Singh","L Ronchi, ST Jayasuriya, B Lee, IK Pathan, RV Uthappa, DJ Bravo, VRV Singh, S Sreesanth, PP Chawla, SS Tiwary, SM Pollock, AM Nayar, Harbhajan Singh, MA Khote, DS Kulkarni, A Nehra",Aleem Dar,AM Saheba
